Author_Rating,Publishing_Year,total_gross_sales,average_book_rating
Excellent,-560,693.61,4.050000
Intermediate,-441,106.92,3.600000
Intermediate,-430,2460.92,3.670000
Intermediate,-380,387.09,3.900000
Excellent,1308,124.74,4.060000
Intermediate,1320,354.22,3.990000
Novice,1390,891.00,3.480000
Intermediate,1593,2726.10,3.810000
Intermediate,1596,427.50,3.780000
Intermediate,1599,392.04,3.650000
Intermediate,1601,1527.45,3.970000
Intermediate,1603,2014.95,3.890000
Intermediate,1605,13413.08,3.850000
Intermediate,1623,1025.57,3.800000
Intermediate,1667,868.26,3.800000
Intermediate,1678,856.14,3.980000
Intermediate,1759,8982.00,3.760000
Intermediate,1812,2167.18,4.115000
Excellent,1823,466.83,4.360000
Intermediate,1826,109.89,3.690000
Excellent,1830,1366.86,4.370000
Intermediate,1831,3013.71,3.970000
Excellent,1835,708.58,4.280000
Intermediate,1847,149.49,3.760000
Intermediate,1848,331.89,3.510000
Intermediate,1849,18394.85,3.960000
Intermediate,1852,1771.10,3.830000
Excellent,1853,543.91,4.150000
Intermediate,1853,988.90,4.000000
Excellent,1854,562.59,4.130000
Intermediate,1854,2044.35,3.790000
Intermediate,1856,9308.67,3.640000
Intermediate,1859,1802.31,3.975000
Excellent,1864,910.86,4.170000
Intermediate,1864,1726.20,3.840000
Excellent,1868,1438.40,4.180000
Intermediate,1869,3540.25,3.860000
Excellent,1871,216.91,4.060000
Intermediate,1871,186.12,3.930000
Novice,1871,1186.92,3.210000
Intermediate,1872,4434.45,3.900000
Intermediate,1874,1997.73,3.920000
Intermediate,1879,1588.94,3.690000
Intermediate,1880,3730.65,3.970000
Intermediate,1881,966.79,3.840000
Excellent,1883,1030.71,4.050000
Intermediate,1886,568.86,3.940000
Excellent,1890,543.91,4.210000
Excellent,1891,352.82,4.220000
Intermediate,1891,9576.00,3.770000
Excellent,1894,1230.90,4.320000
Famous,1894,3180.02,4.500000
Intermediate,1894,113.85,3.940000
Intermediate,1896,640.93,3.720000
Intermediate,1897,16085.81,3.710000
Intermediate,1899,371.25,3.630000
Intermediate,1901,9890.85,4.170000
Intermediate,1902,2703.65,4.080000
Excellent,1905,1599.32,4.065000
Intermediate,1905,24118.25,4.070000
Intermediate,1906,3122.80,3.830000
Famous,1908,1510.11,4.420000
Intermediate,1908,11218.32,3.945000
Excellent,1909,117.81,4.210000
Intermediate,1909,3531.15,3.970000
Novice,1911,405.53,3.350000
Intermediate,1912,331.89,3.900000
Famous,1914,1263.85,4.460000
Intermediate,1914,397.67,3.850000
Excellent,1915,139.59,4.210000
Intermediate,1916,565.11,3.600000
Intermediate,1918,582.54,3.760000
Intermediate,1920,4201.21,3.955000
Intermediate,1922,21915.63,4.015000
Intermediate,1925,2376.95,3.880000
Excellent,1926,842.24,4.200000
Excellent,1927,833.33,4.110000
Intermediate,1927,1144.04,3.760000
Excellent,1928,214.92,4.360000
Intermediate,1929,2445.10,3.860000
Excellent,1930,1263.05,4.090000
Intermediate,1930,1308.62,3.820000
Excellent,1931,1864.03,4.140000
Intermediate,1932,2374.59,4.160000
Intermediate,1933,118.80,3.830000
Excellent,1934,349.83,4.050000
Intermediate,1934,3742.50,4.160000
Intermediate,1935,6897.34,4.180000
Excellent,1937,516.66,4.190000
Intermediate,1937,702.90,4.170000
Excellent,1938,548.90,4.120000
Intermediate,1938,1112.77,3.620000
Excellent,1939,126.72,4.040000
Intermediate,1939,712.80,4.220000
Intermediate,1940,789.74,3.965000
Excellent,1941,873.75,4.170000
Excellent,1942,1506.84,4.090000
Excellent,1945,3559.40,4.136667
Intermediate,1945,695.50,3.846667
Intermediate,1947,965.58,3.970000
Novice,1947,470.25,3.410000
Intermediate,1948,6234.67,4.280000
Novice,1949,5433.18,3.490000
Excellent,1950,267.30,4.260000
Intermediate,1950,16938.82,3.975000
Excellent,1952,1032.23,4.050000
Intermediate,1952,3171.71,3.950000
Excellent,1953,3143.58,4.212500
Intermediate,1953,12595.87,4.156667
Excellent,1954,112.86,4.160000
Intermediate,1954,22185.92,3.945000
Excellent,1955,925.68,4.240000
Intermediate,1955,740.94,3.970000
Excellent,1956,2771.62,4.100000
Intermediate,1956,5980.00,4.020000
Excellent,1957,854.93,4.030000
Excellent,1958,2656.32,4.166667
Intermediate,1958,2748.16,3.933333
Excellent,1959,363.00,4.170000
Intermediate,1959,13343.89,3.840000
Novice,1959,529.65,3.460000
Excellent,1960,334.88,4.150000
Intermediate,1960,11302.76,4.140000
Excellent,1961,1160.85,4.080000
Intermediate,1961,5244.98,4.055000
Excellent,1962,1170.00,4.130000
Intermediate,1962,2927.38,3.800000
Excellent,1963,878.90,4.150000
Excellent,1964,813.37,4.040000
Intermediate,1965,2025.94,4.290000
Excellent,1966,2265.03,4.115000
Excellent,1967,218.90,4.030000
Intermediate,1967,10369.59,4.155000
Excellent,1968,477.50,4.140000
Intermediate,1968,5026.93,3.955000
Excellent,1969,822.83,4.050000
Intermediate,1969,570.57,3.860000
Excellent,1970,322.92,4.180000
Intermediate,1970,9200.97,3.910000
Excellent,1971,515.12,4.130000
Famous,1971,340.29,4.450000
Intermediate,1971,3214.77,4.135000
Excellent,1972,2409.08,4.205000
Intermediate,1972,2421.90,4.220000
Excellent,1973,1824.50,4.065000
Famous,1973,184.14,4.590000
Intermediate,1973,502.68,3.990000
Excellent,1974,320.76,4.225000
Intermediate,1974,17701.10,3.906667
Excellent,1975,2071.56,4.370000
Intermediate,1975,3582.00,3.850000
Novice,1975,34160.00,3.420000
Excellent,1976,897.75,4.110000
Famous,1976,460.35,4.420000
Intermediate,1976,758.22,3.845000
Excellent,1977,1158.84,4.260000
Intermediate,1977,7638.34,3.845000
Excellent,1978,5599.12,4.106667
Intermediate,1978,244.53,3.960000
Excellent,1979,2360.89,4.182500
Intermediate,1979,3390.22,3.845000
Excellent,1980,1478.46,4.195000
Intermediate,1980,25041.99,3.920000
Intermediate,1981,11264.63,3.860000
Excellent,1982,2210.36,4.113333
Intermediate,1982,20175.48,4.168333
Excellent,1983,2202.68,4.200000
Intermediate,1983,1766.16,3.720000
Excellent,1984,4925.50,4.155000
Intermediate,1984,2726.09,3.740000
Excellent,1985,3376.63,4.120000
Famous,1985,1687.77,4.470000
Intermediate,1985,5089.52,4.021667
Excellent,1986,2188.68,4.187500
Famous,1986,111.87,4.530000
Intermediate,1986,21155.24,4.155000
Excellent,1987,693.76,4.085000
Famous,1987,2676.90,4.045000
Intermediate,1987,32814.57,4.036000
Excellent,1988,1537.64,4.230000
Famous,1988,166.32,4.650000
Intermediate,1988,2315.07,4.053333
Excellent,1989,5073.64,4.228000
Intermediate,1989,5407.18,4.124000
Excellent,1990,998.84,4.140000
Intermediate,1990,1532.46,3.856667
Excellent,1991,861.84,4.255000
Famous,1991,583.83,4.410000
Intermediate,1991,16132.37,3.940000
Excellent,1992,2829.84,4.183333
Famous,1992,1309.89,4.110000
Intermediate,1992,6517.38,3.907778
Excellent,1993,3149.80,4.128000
Intermediate,1993,40906.42,3.941429
Excellent,1994,3507.56,4.126000
Intermediate,1994,32601.88,3.810000
Excellent,1995,7699.34,4.127143
Intermediate,1995,52649.76,3.907000
Excellent,1996,2493.63,4.126667
Intermediate,1996,9816.82,3.951429
Excellent,1997,2215.02,4.130000
Famous,1997,458.85,4.420000
Intermediate,1997,29309.67,4.014000
Excellent,1998,3023.84,4.143333
Intermediate,1998,21657.33,3.858333
Novice,1998,448.47,3.290000
Excellent,1999,2064.67,4.176667
Intermediate,1999,37616.45,3.883810
Novice,1999,562.59,3.410000
Excellent,2000,3484.14,4.168000
Famous,2000,325.91,4.560000
Intermediate,2000,30627.23,3.912000
Excellent,2001,9807.41,4.138182
Intermediate,2001,13635.31,3.881250
Excellent,2002,3307.26,4.182000
Famous,2002,1137.57,4.480000
Intermediate,2002,22571.75,3.916923
Excellent,2003,14364.20,4.180714
Intermediate,2003,46146.85,3.894000
Excellent,2004,6221.75,4.187778
Famous,2004,6687.24,4.420000
Intermediate,2004,36494.00,3.889444
Novice,2004,469.44,3.265000
Excellent,2005,10463.10,4.144000
Famous,2005,2315.46,4.430000
Intermediate,2005,28292.15,3.843529
Novice,2005,556.77,3.400000
Excellent,2006,15410.68,4.176471
Famous,2006,2625.70,4.420000
Intermediate,2006,63500.55,3.838500
Novice,2006,3955.60,3.480000
Excellent,2007,6114.93,4.190909
Famous,2007,111.87,4.410000
Intermediate,2007,57640.21,3.954545
Excellent,2008,9104.41,4.154000
Famous,2008,7046.53,4.445000
Intermediate,2008,91398.44,3.875238
Novice,2008,558.88,3.320000
Excellent,2009,15564.20,4.186667
Famous,2009,2561.90,4.426667
Intermediate,2009,43853.86,3.855833
Novice,2009,3555.30,3.300000
Excellent,2010,4766.66,4.191818
Famous,2010,6616.32,4.462000
Intermediate,2010,42726.21,3.885000
Excellent,2011,15277.48,4.165556
Intermediate,2011,118962.52,3.929143
Novice,2011,1194.17,3.395000
Excellent,2012,22767.50,4.183333
Famous,2012,791.73,4.450000
Intermediate,2012,69048.32,3.880606
Novice,2012,426.93,3.210000
Excellent,2013,8304.65,4.202222
Famous,2013,1094.94,4.515000
Intermediate,2013,39526.21,3.984211
Novice,2013,4656.76,3.380000
Excellent,2014,6810.20,4.181111
Famous,2014,9217.92,4.508333
Intermediate,2014,20673.82,3.808824
Novice,2014,1245.92,3.330000
Excellent,2015,8747.17,4.193333
Famous,2015,1383.80,4.487500
Intermediate,2015,26748.27,3.802000
Novice,2015,50989.52,3.396667
Excellent,2016,2887.22,4.236667
Famous,2016,1906.77,4.580000
Intermediate,2016,1622.30,3.785000
Novice,2016,2483.27,3.470000
